Id,Forename,Surname,Email,Nationality,Course,University,Address
"List of students"
1,Koby,Dare,Astrid@salma.com,UK,"International Commercial & Maritime Law","Bandung Institute of Technology","23485 Shields Station Rodriguez Junction 990 New Calistabury"
2,Kelli,Dicki,Ivory@ashtyn.me,UK,"BA Management And Leadership With European Study","Polytechnic di Torino","64042-7915 Streich Park Parker Mount 529 D'Amoreberg"
3,Golden,Carter,Ari@flo.tv,UK,Retail/Merchandising,"New York University","40444-3540 Johnny Radial Jeffery Heights 487 New Arch"
4,Emory,Koch,Gene_Hilpert@laurie.io,UK,"IMML German","Aalborg University","51003 Reichel Forges Dennis River 474 North Dandreside"
5,Marjorie,Kilback,Antonia.Hauck@giuseppe.tv,"Dominican Republic","BSc Philosophy, Logic And Scientific Method","ESCP Europe (London)","20854-6183 58901 Ledner Courts 8553 Wuckert Lock 757 Lake Mervin"
6,Ernest,Hoeger,Maritza_Mann@abelardo.tv,Panama,Mathematics,"Royal Academy of Music","40444-3540 Johnny Radial Jeffery Heights 487 New Arch"
7,Rebecca,Hudson,Reynold_Ferry@bennett.us,Chile,"International Commercial & Maritime Law","Bandung Institute of Technology","79660 Lorna Stream Bechtelar Locks 7 Bernieburgh"
8,Josefina,Hirthe,Augustine@cassie.tv,Kyrgyzstan,Biology,"UHI Millennium Institute","57283-9246 Korey Manor Carlotta Underpass 153 Larsontown"
9,Wanda,Ebert,Amina.Farrell@charlie.net,Palau,"LL.B Law","Clark Atlanta University","48907-7261 Dan Light Zulauf Village 220 North Adahville"
10,Burnice,Denesik,Tyrese@don.ca,Kuwait,"English Law And German Law","Stirling, University of","60928-5635 Kirlin Pass Effertz Route 335 New Davetown"
11,Harold,Moen,Neil@merlin.name,"Vatican City","BA, Hons Accounting And Finance","Ochanomizu Univ","41969 Camylle Fall Medhurst Circle 900 South Domenicafort"
12,Brennon,Spencer,Alexandria@eva.io,Cambodia,"BA, Hons Accounting And Finance","Ochanomizu Univ","67091-2083 Santino Inlet Goodwin Junctions 535 Port Adamland"
13,Stanley,Ziemann,Micaela@millie.info,Azerbaijan,"BA Modern Languages With Business Management","Chungang University","49087-1056 Vandervort Bypass Reynolds Shoals 199 Port Pearlton"
14,Forest,Rempel,Chyna_Nolan@elody.org,Seychelles,"Software Engineering","Lebanese American University","64042-7915 Streich Park Parker Mount 529 D'Amoreberg"
